name_fr,name_en,search_aka,region,category,basis,kcal_per_100,measures,default_measure,local_portion,status,notes,protein_g,carbs_g,fat_g
Ndolé,Ndole,ndole ndolé ndolé,Littoral/Sawa,sauce/stew,100g,160.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,bitterleaf groundnut stew with meat/shrimp,12,5,10
Eru,Eru,eru okazi afang waterleaf,Southwest/Centre,sauce/stew,100g,140.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,eru (okazi) leaf with waterleaf and red palm oil,10,5,9
Okok salé,Okok (savoury),okok mfumbwa koko salé savoury,Centre/Beti,sauce/stew,100g,150.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,"okok leaf, savoury preparation with palm oil and meat/fish",9,6,10
Okok sucré,Okok (sweet),okok mfumbwa koko sucré sweet,Centre/Beti,sauce/stew,100g,175.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,"okok leaf, sweet preparation with groundnut and sugarcane juice",7,14,10
Kpwem,Kpwem (cassava leaf),kpem kpwem kpem,Centre/Beti,sauce/stew,100g,120.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,young cassava leaves often with groundnut,5,7,8
Sanga,Sanga,sanga,Centre,dish,100g,120.0,gram:1|cup:200|1 plat moyen:250.0,gram,1 plat moyen,estimate — verify,fresh corn with cassava leaves,4,18,4
Njama njama sauté,Sauteed huckleberry (njama njama),njama njama huckleberry huckleberry,Northwest,vegetable,100g,90.0,gram:1|cup:100|handful:30|1 portion:150.0,gram,1 portion,estimate — verify,sauteed with oil and onion,5,8,4
Folong sauté,Sauteed amaranth (folong),folong zom amaranth amaranth/zom,Centre,vegetable,100g,70.0,gram:1|cup:100|handful:30|1 portion:150.0,gram,1 portion,estimate — verify,,4,7,3
Sauce gombo,Okra sauce,gombo okra sauce okra sauce,national,sauce,100g,90.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,,4,5,6
Sauce gombo sec,Dried okra sauce,gombo sec dried okra dried okra,Grand Nord,sauce,100g,110.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,,5,7,7
Sauce follère,Roselle leaf sauce (follère),follere folere roselle roselle leaf sauce,Grand Nord,sauce,100g,100.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,,3,6,7
Sauce arachide,Groundnut sauce (mafé),arachide mafe groundnut peanut mafé/groundnut sauce,national,sauce,100g,190.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,,8,8,14
Sauce tomate,Tomato sauce,tomate tomato stew tomato stew,national,sauce,100g,90.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,includes typical oil,3,8,5
Sauce jaune,Yellow soup (achu soup),achu jaune yellow achu soup,Northwest/West,sauce,100g,150.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,palm oil and limestone base,4,5,13
Nkui,Nkui,nkui,West/Bamileke,sauce,100g,70.0,gram:1|tablespoon:15|cup:240|ladle:150|1 bol:200.0,gram,1 bol,estimate — verify,slippery bark-based sauce low oil,2,7,4
Mbongo tchobi,Mbongo tchobi (black stew),mbongo tchobi black black stew,Littoral/Bassa,sauce/stew,100g,130.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,burnt-spice black sauce with fish,10,4,8
Sauce mbanga,Palm nut soup (mbanga),mbanga palm nut palm nut soup,Southwest,soup,100g,180.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,,5,6,15
Sauce pistache (egusi),Egusi / pistachio soup,egusi pistache pistachio melon pistache sauce,national,sauce/stew,100g,200.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,melon seed rich,10,6,15
Pistache vapeur (ngon),Steamed egusi pudding (ngon),pistache ngon egusi steamed egusi pudding/ngon,Centre,steamed dish,100g,190.0,gram:1|cup:200,gram,1 paquet moyen,estimate — verify,steamed in leaves,10,6,14
Koki (gâteau de haricot),Koki (bean cake),koki bean cake haricot koki beans/gateau haricot,West/national,steamed dish,100g,185.0,gram:1|cup:200,gram,1 paquet moyen,estimate — verify,cowpea pudding with palm oil,10,14,10
Ekwang,Ekwang,ekwang,Southwest/Bakweri,dish,100g,170.0,gram:1|cup:200|1 portion:250.0,gram,1 portion,estimate — verify,grated cocoyam wrapped in leaves,4,20,8
Kwacoco bible,Kwacoco bible,kwacoco kwacoco,Southwest,dish,100g,180.0,gram:1|cup:200|1 paquet:250.0,gram,1 paquet,estimate — verify,grated cocoyam with fish and oil,4,21,9
Kondre,Kondre (plantain stew),kondre plantain,West,plantain stew,100g,130.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,plantain with meat,8,14,5
Ndomba,Ndomba (fish/meat in leaves),ndomba mintsan fish/meat in leaves,Centre/Littoral,dish,100g,110.0,gram:1|cup:200,gram,1 paquet,estimate — verify,steamed with spices minimal oil,12,4,5
Mbol,Mbol,mbol,Centre/Beti,sauce,100g,120.0,gram:1|tablespoon:15|cup:240|ladle:150,gram,1 louche,estimate — verify,groundnut-free spiced sauce,4,6,9
Pepper soup (pèppè),Pepper soup,pepper soup peppe pèppè soup,national,soup,100g,50.0,gram:1|tablespoon:15|cup:240|ladle:150|1 bol:300.0,gram,1 bol,estimate — verify,light spicy broth,6,2,2
Corn chaff,Corn chaff (corn & beans),corn chaff maïs haricot,Northwest,dish,100g,140.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,corn and beans with palm oil,4,20,5
Achu (taro pilé),Achu (pounded taro),achu taro taro pilé,Northwest/West,swallow,100g,110.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,pounded cocoyam/taro,2,21,2
Water fufu (fufu de manioc),Water fufu (cassava),water fufu manioc cassava fufu de manioc,Southwest/national,swallow,100g,120.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,fermented cassava,1,29,0
Fufu de maïs,Corn fufu,corn fufu maïs couscous couscous de maïs,Northwest/West,swallow,100g,110.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,,2,24,1
Garri (sec),Garri (dry),garri gari sec dry,national,staple,100g,357.0,gram:1|tablespoon:10|cup:150|1 verre:100.0,gram,1 verre,estimate — verify,dry before soaking,1,87,0.5
Garri à l'eau,Soaked garri,garri gari soaked eau garri à l'eau,national,staple,100g,100.0,gram:1|tablespoon:10|cup:150|1 bol:300.0,gram,1 bol,estimate — verify,soaked with water,0.5,24,0
Boule de mil,Millet ball (la boule),boule mil millet sorghum la boule,Grand Nord,swallow,100g,105.0,gram:1|cup:200|tablespoon:15|1 boule moyenne:250.0,gram,1 boule moyenne,estimate — verify,millet or sorghum paste,3,21,1
Riz blanc cuit,White rice (cooked),riz rice blanc white,national,staple,100g,130.0,gram:1|cup:200|tablespoon:15,gram,1 tasse cuite,estimate — verify,,2.7,28,0.3
Riz sauté,Fried rice,riz sauté fried rice,national,staple,100g,175.0,gram:1|cup:200|tablespoon:15|1 plat moyen:250.0,gram,1 plat moyen,estimate — verify,fried rice with oil and vegetables,3,25,7
Plantain bouilli,Boiled plantain,plantain bouilli boiled,national,staple,100g,116.0,gram:1|cup:200|tablespoon:15|1 doigt moyen:150.0,gram,1 doigt moyen,estimate — verify,,1,27,0.5
Plantain mûr frit,Fried ripe plantain,plantain frit fried dodo,national,side,100g,200.0,gram:1|cup:200|1 portion:100.0,gram,1 portion,estimate — verify,,1,28,9
Plantain braisé (bôbolô),Roasted plantain (boli),plantain braisé roasted boli boli,national,street food,100g,125.0,gram:1|cup:200|1 doigt moyen:150.0,gram,1 doigt moyen,estimate — verify,,1,28,1
Macabo bouilli,Boiled cocoyam (macabo),macabo cocoyam bouilli cocoyam,national,staple,100g,112.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,,2,25,0.5
Igname bouillie,Boiled yam,igname yam bouillie yam,national,staple,100g,116.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,,2,26,0.2
Patate douce bouillie,Boiled sweet potato,patate douce sweet potato,national,staple,100g,90.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,,2,20,0.3
Manioc bouilli,Boiled cassava,manioc cassava bouilli cassava,national,staple,100g,160.0,gram:1|cup:200|tablespoon:15|1 morceau moyen:150.0,gram,1 morceau moyen,estimate — verify,,1,38,0.3
Bâton de manioc (bobolo),Cassava stick (bobolo),baton bobolo manioc cassava bobolo,Centre/Littoral,staple,100g,150.0,gram:1|cup:200|tablespoon:15|piece:150,gram,1 bâton moyen (150g),estimate — verify,150 kcal per 100g,1,35,0.5
Miondo,Miondo (cassava stick),miondo mintumba,Littoral,staple,100g,150.0,gram:1|cup:200|tablespoon:15,gram,1 paquet (200g),estimate — verify,150 kcal per 100g,1,35,0.5
Mintumba,Mintumba (cassava cake),mintumba cassava pudding,Littoral,steamed dish,100g,180.0,gram:1|cup:200|1 morceau:150.0,gram,1 morceau,estimate — verify,cassava with palm oil steamed,2,30,6
Tapioca,Tapioca,tapioca,national,staple,100g,150.0,gram:1|cup:200|tablespoon:15|1 bol prepare:250.0,gram,1 bol prepare,estimate — verify,soaked pearls with milk/sugar varies,0.5,36,0.5
Pommes frites,French fries,frites fries chips fries,urban,side,100g,310.0,gram:1|cup:200|1 portion:150.0,gram,1 portion,estimate — verify,,4,38,16
Spaghetti sauté,Fried spaghetti,spaghetti sauté fried,urban/street,dish,100g,150.0,gram:1|cup:200|1 plat moyen:300.0,gram,1 plat moyen,estimate — verify,with vegetables and oil,4,23,5
Omelette spaghetti,Spaghetti omelette,omelette spaghetti,street,dish,100g,171.4,gram:1|cup:200|piece:350,gram,1 plat tournedos,estimate — verify,street breakfast classic,7,18,8
Poisson braisé,Grilled fish,poisson braisé grilled fish bar grilled fish/bar/tilapia,national,protein,100g,150.0,gram:1|piece:100|1 poisson moyen:300.0,gram,1 poisson moyen,estimate — verify,with oil brushing average,22,0,7
Maquereau braisé,Grilled mackerel,maquereau mackerel braisé,national,protein,100g,205.0,gram:1|piece:100|1 poisson moyen:250.0,gram,1 poisson moyen,estimate — verify,oilier fish,18,0,15
Poulet braisé,Grilled chicken,poulet braisé grilled chicken,national,protein,100g,190.0,gram:1|piece:100|1 quart de poulet:250.0,gram,1 quart de poulet,estimate — verify,,25,0,10
Poulet DG,Poulet DG,poulet dg directeur general,urban,dish,100g,200.0,gram:1|cup:200|1 plat complet:400.0,gram,1 plat complet,estimate — verify,chicken plantain vegetables in oil,15,8,12
Kati kati,Kati kati (grilled chicken),kati kati,Northwest,protein,100g,190.0,gram:1|piece:100|1 portion:200.0,gram,1 portion,estimate — verify,grilled chicken in palm oil,25,0,10
Porc braisé,Grilled pork,porc braisé grilled pork grilled pork,urban,protein,100g,290.0,gram:1|piece:100|1 portion:200.0,gram,1 portion,estimate — verify,fatty cuts common,20,0,23
Soya (brochette de bœuf),Soya (beef skewer),soya brochette skewer suya brochette de boeuf,street/national,protein,100g,288.9,gram:1|piece:45,gram,1 baton,estimate — verify,per skewer,30,5,16
Brochette de porc,Pork skewer,brochette porc pork skewer,street,protein,100g,320.0,gram:1|piece:50,gram,1 baton,estimate — verify,,22,2,25
Kilishi,Kilishi (spiced dried beef),kilishi dried beef,Grand Nord,snack,100g,380.0,gram:1|cup:200|1 sachet moyen:50.0,gram,1 sachet moyen,estimate — verify,spiced dried beef,45,10,17
Viande en sauce,Meat in sauce,viande meat sauce boeuf boeuf en sauce,national,protein,100g,180.0,gram:1|piece:100|1 louche avec viande:150.0,gram,1 louche avec viande,estimate — verify,,18,5,10
Escargots,Snails,escargots snails nyama nyama ngub/snails,Centre/Sud,protein,100g,90.0,gram:1|piece:100|1 portion:150.0,gram,1 portion,estimate — verify,boiled,15,3,2
Escargots pimentés,Peppered snails,escargots pimentés peppered snails,Centre/Sud,protein,100g,145.0,gram:1|piece:100|1 portion:150.0,gram,1 portion,estimate — verify,with oil,14,4,8
Crevettes sautées (njanga),Sauteed shrimp (njanga),crevettes njanga shrimp prawns njanga fresh,Littoral,protein,100g,150.0,gram:1|piece:100,gram,1 portion,estimate — verify,,20,4,6
Njanga sec (crevettes séchées),Dried crayfish (njanga),njanga crayfish dried crevettes dried crayfish,national,condiment,100g,320.0,gram:1|cup:200|1 poignee:20.0,gram,1 poignee,estimate — verify,,45,3,14
Poisson fumé,Smoked fish,poisson fumé smoked fish smoked fish,national,protein,100g,290.0,gram:1|piece:100|1 morceau:80.0,gram,1 morceau,estimate — verify,,45,0,12
Makayabu (morue salée),Salted cod (makayabu),makayabu cod salted morue stockfish/salted fish,Littoral,protein,100g,180.0,gram:1|piece:100,gram,1 morceau,estimate — verify,,28,2,7
Œuf bouilli,Boiled egg,oeuf egg bouilli boiled boiled egg,national,protein,100g,156.0,gram:1|piece:50,gram,1 oeuf,estimate — verify,,13,1,11
Œuf en omelette,Omelette egg,oeuf omelette egg,national,protein,100g,183.3,gram:1|piece:60,gram,1 oeuf avec huile,estimate — verify,,12,2,14
Haricot rouge cuit,Cooked red beans,haricot beans rouge red beans,national,staple,100g,130.0,gram:1|cup:200|tablespoon:15,gram,1 louche,estimate — verify,plain,8,22,1
Haricot à l'huile,Beans in oil,haricot beans huile oil,street,staple,100g,165.0,gram:1|ml:0.92|teaspoon:4.5|tablespoon:14|cup:218|1 louche:200.0,gram,1 louche,estimate — verify,with palm/veg oil,7,21,6
